Top100 cosine;Duarte;Eduardo;F�bio;;mean;desv pad;>2.5
MT0000202045.mp3;5;5;5;;5;0;1
MT0033841575.mp3;1;3;2;;2;0,707106781;0
MT0027002641.mp3;1;2;2;;1,666666667;0,40824829;0
MT0030487841.mp3;1;2;3;;2;0,707106781;0
MT0008575372.mp3;1;3;4;;2,666666667;1,08012345;1
MT0014576739.mp3;1;1;2;;1,333333333;0,40824829;0
MT0030422114.mp3;2;1;2;;1,666666667;0,40824829;0
MT0003390733.mp3;1;2;1;;1,333333333;0,40824829;0
MT0027835071.mp3;4;2;5;;3,666666667;1,08012345;1
MT0011145388.mp3;1;1;1;;1;0;0
MT0009188643.mp3;3;2;3;;2,666666667;0,40824829;1
MT0010617945.mp3;2;3;3;;2,666666667;0,40824829;1
MT0009213083.mp3;2;1;2;;1,666666667;0,40824829;0
MT0005331755.mp3;1;1;1;;1;0;0
MT0002233402.mp3;1;1;1;;1;0;0
MT0026727455.mp3;3;1;1;;1,666666667;0,816496581;0
MT0005265641.mp3;2;2;2;;2;0;0
MT0010344415.mp3;1;2;1;;1,333333333;0,40824829;0
MT0000711493.mp3;2;2;3;;2,333333333;0,40824829;0
MT0018029465.mp3;1;1;2;;1,333333333;0,40824829;0
MT0005469880.mp3;1;1;1;;1;0;0
;;;;;;;5
mean;1,761904762;1,857142857;2,238095238;;1,952380952;;prec
desv pad;1,083125188;0,966987557;1,2024506;;0,93897491;;23,80952381
